% Generated by Discussion model node.4007.txt
% File generated on 2017/08/09 19:32:22

@relation pr1502321542265

@attribute author String
@attribute textual String
@attribute isProjectMember {TRUE, FALSE}
@attribute isInvited {TRUE, FALSE}
@attribute numberOfWords numeric
@attribute commentsSoFar numeric
@attribute allUtterancesSoFar numeric
@attribute utterancesInCommentSoFar numeric
@attribute utteredByOriginalPoster {TRUE, FALSE}
@attribute hasCapitalizedWord {TRUE, FALSE}
@attribute containsShould {TRUE, FALSE}
@attribute hasDecisions {TRUE, FALSE}
@attribute howManyDecisions numeric
@attribute idComment numeric
@attribute idPara numeric

@data
Fishrock123,"Commit 1",FALSE,FALSE,2,0,0,0,TRUE,FALSE,FALSE,TRUE,0,1,1
Fishrock123,"Consolidates the implementation of regular and internal (_unrefActive)timers.",FALSE,FALSE,8,0,1,1,TRUE,FALSE,FALSE,TRUE,0,1,2
Fishrock123,"Includes an optimization for listOnTimeout() that previously onlyinternal timers had. (_runOnTimeout)",FALSE,FALSE,11,0,2,2,TRUE,FALSE,FALSE,TRUE,0,1,3
Fishrock123,"Also includes some minor other cleanup.",FALSE,FALSE,6,0,3,3,TRUE,FALSE,FALSE,TRUE,0,1,4
Fishrock123,"Commit 2",FALSE,FALSE,2,0,4,4,TRUE,FALSE,FALSE,TRUE,0,1,5
Fishrock123,"Describes the How and Why of the timers implementation, as well asadding comments in spots that should allow for an easier understandingof what is going on.",FALSE,FALSE,26,0,5,5,TRUE,TRUE,TRUE,TRUE,0,1,6
Fishrock123,"The timers implementation is very efficient, at a cost.That cost is readable understandability, and this aims to improve that.",FALSE,FALSE,19,0,6,6,TRUE,FALSE,FALSE,TRUE,0,1,7
Fishrock123,"cc @bnoordhuis / @piscisaureus / @trevnorris / @misterdjules / etc?",FALSE,FALSE,10,0,7,7,TRUE,FALSE,FALSE,TRUE,0,1,8
Fishrock123,"This attempts to improve the timers implementation by consolidating the internal and regular timer logic.",FALSE,FALSE,15,0,8,8,TRUE,FALSE,FALSE,TRUE,0,1,9
Fishrock123,"I have not yet run performance testing / profiling on this, so feel free to help me out there if you are able to but I will hopefully be able to get to it shortly.",FALSE,FALSE,35,0,9,9,TRUE,TRUE,FALSE,TRUE,0,1,10
Fishrock123,"Tests pass locally, CI: https://ci.nodejs.org/job/node-test-commit/1237/",FALSE,FALSE,5,0,10,10,TRUE,TRUE,FALSE,TRUE,0,1,11
Fishrock123,"cc @nodejs/documentation and @nodejs/inclusivity I'd like thoughts on the format of the comments and their content and if they fit in well as code comments, as well as how understandable this is to people who are unfamiliar with the code.",FALSE,FALSE,40,0,11,11,TRUE,TRUE,FALSE,TRUE,0,1,12
Fishrock123,"There is possibly a better way of doing this.",FALSE,FALSE,9,1,12,0,TRUE,TRUE,FALSE,TRUE,0,2,1
Fishrock123,"In a nutshell we need to be able to tell if a specific list (TimerWrap) is (supposed to be) unrefed or not.",FALSE,FALSE,22,1,13,1,TRUE,FALSE,FALSE,TRUE,0,2,2
Fishrock123,"I'm not to worried about people messing with these top-level handles from C++ though.",FALSE,FALSE,14,1,14,2,TRUE,TRUE,FALSE,TRUE,0,2,3
alexlamsl,"Could just store a reference to lists so just have one-line delete instead of branch down there?",FALSE,FALSE,17,2,15,0,FALSE,TRUE,FALSE,TRUE,0,3,1
