% Generated by Discussion model node.4077.txt
% File generated on 2017/08/02 15:59:25

@relation pr1501703965544

@attribute author String
@attribute textual String
@attribute isProjectMember {TRUE, FALSE}
@attribute isInvited {TRUE, FALSE}
@attribute numberOfWords numeric
@attribute commentsSoFar numeric
@attribute allUtterancesSoFar numeric
@attribute utterancesInCommentSoFar numeric
@attribute utteredByOriginalPoster {TRUE, FALSE}
@attribute hasCapitalizedWord {TRUE, FALSE}
@attribute containsShould {TRUE, FALSE}
@attribute hasDecisions {TRUE, FALSE}
@attribute howManyDecisions numeric
@attribute idComment numeric

@data
Fishrock123,"This is my conclusion from #1592 (comment).",FALSE,FALSE,7,0,0,0,TRUE,FALSE,FALSE,TRUE,0,1
Fishrock123,"A significant amount of people find specifically existsSync() useful (especially in simple CLI apps) and it seems unreasonable to require a module for this. Keep exists() deprecated as it breaks our errback API convention.",FALSE,FALSE,34,0,1,1,TRUE,TRUE,FALSE,TRUE,0,1
Fishrock123,"This commit makes existsSync() throw on EPERM. The technical problem with existsSync() (besides a race condition if used badly) is that you cannot know if a file does or doesn't exist under Windows with improper permissions.Throwing in that case really isn't that bad of an idea, since the regular output will probably cause errors anyways down the line, and I don't think these errors can be remedied from Node.js. Instead, error so the end user can clean up their file permissions. Catching this error in user code isn't really worthwhile due to these reasons, so suggest against it.",FALSE,FALSE,98,0,2,2,TRUE,TRUE,FALSE,TRUE,0,1
Fishrock123,"Discuss. cc @nodejs/collaborators",FALSE,FALSE,3,0,3,3,TRUE,FALSE,FALSE,TRUE,0,1
cjihrig,"I'm in favor of keeping existsSync(). People screamed to have it deprecated, and then even more people screamed to keep it.",FALSE,FALSE,21,1,4,0,FALSE,TRUE,FALSE,TRUE,0,2
cjihrig,"I'm not in favor of having it throw, because at that point you could just use fs.accessSync(). I don't really like the idea of  don't catch the error. ",FALSE,FALSE,28,1,5,1,FALSE,TRUE,FALSE,TRUE,0,2
Fishrock123,"I'm not in favor of having it throw, because at that point you could just use fs.accessSync().",FALSE,FALSE,17,2,6,0,TRUE,TRUE,FALSE,TRUE,0,3
Fishrock123,"You can't though. You can't  just use accessSync()  if the code happens to be run on windows, that's awful.",FALSE,FALSE,19,2,7,1,TRUE,TRUE,FALSE,TRUE,0,3
Fishrock123,"I don't really like the idea of  don't catch the error. ",FALSE,FALSE,11,2,8,2,TRUE,FALSE,FALSE,TRUE,0,3
Fishrock123,"I think the current behavior is actually worse.",FALSE,FALSE,8,2,9,3,TRUE,FALSE,FALSE,TRUE,0,3
