% Generated by Discussion model rails.505.txt
% File generated on 2017/08/09 19:32:26

@relation pr1502321546707

@attribute author String
@attribute textual String
@attribute isProjectMember {TRUE, FALSE}
@attribute isInvited {TRUE, FALSE}
@attribute numberOfWords numeric
@attribute commentsSoFar numeric
@attribute allUtterancesSoFar numeric
@attribute utterancesInCommentSoFar numeric
@attribute utteredByOriginalPoster {TRUE, FALSE}
@attribute hasCapitalizedWord {TRUE, FALSE}
@attribute containsShould {TRUE, FALSE}
@attribute hasDecisions {TRUE, FALSE}
@attribute howManyDecisions numeric
@attribute idComment numeric
@attribute idPara numeric

@data
dlee,"Update: as ncreuschling points out, there was a typo in the pull request message that said  HTML verb  instead of  HTTP verb .",FALSE,FALSE,22,0,0,0,TRUE,FALSE,FALSE,TRUE,0,1,1
dlee,"Updated: update forms default to PUT instead of PATCH for current apps. Defaults to PATCH for new apps.",FALSE,FALSE,18,0,1,1,TRUE,TRUE,FALSE,TRUE,0,1,2
dlee,"PATCH is the correct HTTP verb to map to the #update action. The semantics forPATCH allows for partial updates, whereas PUT requires a complete replacement.",FALSE,FALSE,25,0,2,2,TRUE,TRUE,FALSE,TRUE,0,1,3
dlee,"adds the #patch verb to routes to detect PATCH requests",FALSE,FALSE,10,0,4,4,TRUE,TRUE,FALSE,TRUE,0,1,4
dlee,"adds #patch? to Request",FALSE,FALSE,4,0,5,5,TRUE,TRUE,FALSE,TRUE,0,1,5
dlee,"adds the PATCH -> update mapping in the #resource(s) routes.",FALSE,FALSE,10,0,6,6,TRUE,TRUE,FALSE,TRUE,0,1,6
dlee,"changes default form helpers to prefer :patch instead of :put for updates only for new apps",FALSE,FALSE,16,0,8,8,TRUE,FALSE,FALSE,TRUE,0,1,7
dlee,"changes documentation and comments to indicate the preference for PATCH",FALSE,FALSE,10,0,9,9,TRUE,TRUE,FALSE,TRUE,0,1,8
dlee,"This change tries to maintain complete backwards compatibility by keeping theoriginal PUT -> update mapping. Users using the #resource(s) routes should notnotice a change in behavior since both PUT and PATCH requests get mapped toupdate.",FALSE,FALSE,35,0,10,10,TRUE,TRUE,TRUE,TRUE,0,1,9
dasch,"GitHub needs a +1 button.",FALSE,FALSE,5,1,11,0,FALSE,TRUE,FALSE,TRUE,0,2,1
benatkin,"I googled for HTTP verbs and clicked the first result and PATCH isn't listed.",FALSE,FALSE,14,2,12,0,FALSE,TRUE,FALSE,TRUE,0,3,1
benatkin,"Where is it?",FALSE,FALSE,3,2,14,2,FALSE,FALSE,FALSE,TRUE,0,3,2
benatkin,"Also I hardly think that updating everything except the primary key and the created_at timestamp is a PATCH.",FALSE,FALSE,18,2,15,3,FALSE,TRUE,FALSE,TRUE,0,3,3
dlee,"@benatkin http://www.w3.org/Protocols/rfc2068/rfc2068",FALSE,FALSE,2,3,16,0,TRUE,FALSE,FALSE,TRUE,0,4,1
dlee,"For past discussion, see issues #348 and #425.",FALSE,FALSE,8,3,17,1,TRUE,FALSE,FALSE,TRUE,0,4,2
dasch,"The example needs to be indented 2 spaces so it'll show up correctly in the docs.",FALSE,FALSE,16,4,18,0,FALSE,TRUE,FALSE,TRUE,0,5,1
dlee,"@josevalim, @fxn: Hey guys, this pull request has been sitting here for over a month unnoticed. It seems like master is now hosting code for Rails 3.2, so I'm thinking it can be merged in?",FALSE,FALSE,35,5,19,0,TRUE,TRUE,FALSE,TRUE,0,6,1
josevalim,"It seems fine for me with the view configuration option. I am a bit concerned about generating more routes (routes generation is already slow), but I don't consider it a blocker at first. /cc @nzkoz",FALSE,TRUE,35,6,20,0,FALSE,TRUE,FALSE,TRUE,0,7,1
fxn,"Yes I had it in mind, but waiting for 3.1 to start working on 3.2 proper.",FALSE,TRUE,16,7,21,0,FALSE,TRUE,FALSE,TRUE,0,8,1
fxn,"Just a ping to say I am still waiting for 3.1 and have not forgotten this patch. That's because albeit 3-1-stable is branched, I prefer a master that does not move too much because cherry-picking back to 3-1-stable is very common these days. Focus is 3.1 now.",FALSE,TRUE,47,8,22,0,FALSE,TRUE,FALSE,TRUE,0,9,1
fxn,"The patch does not merge cleanly anymore, by the way, in case you want to maintain it in sync.",FALSE,TRUE,19,8,23,1,FALSE,FALSE,FALSE,TRUE,0,9,2
dlee,"@fxn, cool, glad to know this hasn't been forgotten. Let me know when you're ready to merge so I can update the pull request.",FALSE,FALSE,24,9,24,0,TRUE,TRUE,FALSE,TRUE,0,10,1
jeremy,"Nice patch!",FALSE,FALSE,2,10,25,0,FALSE,TRUE,FALSE,TRUE,0,11,1
