% Generated by Discussion model rails.5329.txt
% File generated on 2017/08/02 15:59:31

@relation pr1501703971195

@attribute author String
@attribute textual String
@attribute isProjectMember {TRUE, FALSE}
@attribute isInvited {TRUE, FALSE}
@attribute numberOfWords numeric
@attribute commentsSoFar numeric
@attribute allUtterancesSoFar numeric
@attribute utterancesInCommentSoFar numeric
@attribute utteredByOriginalPoster {TRUE, FALSE}
@attribute hasCapitalizedWord {TRUE, FALSE}
@attribute containsShould {TRUE, FALSE}
@attribute hasDecisions {TRUE, FALSE}
@attribute howManyDecisions numeric
@attribute idComment numeric

@data
clifton,"Does it not make an API confusing to have #some_method? return a non-boolean value, even if it works in most places as expected?",FALSE,FALSE,23,0,2,2,TRUE,TRUE,FALSE,TRUE,0,1
clifton,"Here's a very contrived example (obviously you would never need to do this as written).",FALSE,FALSE,15,0,3,3,TRUE,FALSE,FALSE,TRUE,0,1
carlosantoniodasilva,"/cc @fxn",FALSE,FALSE,2,1,4,0,FALSE,FALSE,FALSE,TRUE,0,2
fxn,"I am -1 on this one. Predicates return a value that is true or false in the Ruby definition of the words and client code should not expect any particular value from them (unless documented).",FALSE,TRUE,35,2,6,1,FALSE,TRUE,TRUE,TRUE,0,3
fxn,"You write",FALSE,TRUE,2,2,7,2,FALSE,FALSE,FALSE,TRUE,0,3
fxn,"rather than",FALSE,TRUE,2,2,8,3,FALSE,FALSE,FALSE,TRUE,0,3
fxn,"The singletons allow you to return booleans when you need them.",FALSE,TRUE,11,2,9,4,FALSE,FALSE,FALSE,TRUE,0,3
clifton,"Well, to be fair, github.com/styleguide from @kneath",FALSE,FALSE,7,3,10,0,TRUE,TRUE,FALSE,TRUE,0,4
clifton,"The names of predicate methods (methods that return a boolean value) should end in a question mark. (i.e. Array#empty?).",FALSE,FALSE,19,3,11,1,TRUE,TRUE,TRUE,TRUE,0,4
clifton,"No rubyist would ever write unless request.xhr? == true and the part of our app that broke had some parameterization passed similar to :ajax_request => request.xhr?, which TBH isn't great style, but would break down when testing for true or false in a language such as javascript where 0 evaluates to false.",FALSE,FALSE,52,3,12,2,TRUE,TRUE,FALSE,TRUE,0,4
clifton,"And regardless of Ruby style opinions (obviously I'm in the camp that thinks it's bad style to not return true or false from a #method?) it's an API change coming from 2.3. In 2.3 it returned true or false. API changes that happen without good reason are only going to frustrate your users.",FALSE,FALSE,53,3,14,4,TRUE,TRUE,FALSE,TRUE,0,4
fxn,"The code",FALSE,TRUE,2,4,15,0,FALSE,TRUE,FALSE,TRUE,0,5
fxn,"is broken. It is not using the predicate as such, it is relying on the undocumented return value of the predicate. Rails didn't promise any value and thus there's no contract changed: The contract is that the value is true or false (regular font) depending on whether the request is Ajax.",FALSE,TRUE,51,4,17,2,FALSE,TRUE,FALSE,TRUE,0,5
fxn,"If you need a boolean as value for :ajax_request you need to get one out of the predicate, for example",FALSE,TRUE,20,4,18,3,FALSE,FALSE,FALSE,TRUE,0,5
fxn,"or something more explicit.",FALSE,TRUE,4,4,19,4,FALSE,FALSE,FALSE,TRUE,0,5
clifton,"Well, to fix the code during our rails migration (which still isn't complete after 3 months -- 75k LOC app), that's exactly what I had to do.",FALSE,FALSE,27,5,20,0,TRUE,TRUE,FALSE,TRUE,0,6
clifton,"Rails 2.3 version",FALSE,FALSE,3,5,21,1,TRUE,FALSE,FALSE,TRUE,0,6
clifton,"Rails 3.1 version:",FALSE,FALSE,3,5,22,2,TRUE,TRUE,FALSE,TRUE,0,6
clifton,"My two arguments, , were:",FALSE,FALSE,5,5,23,3,TRUE,TRUE,FALSE,TRUE,0,6
clifton,"This needlessly broke API compatibility between 2.3 and 3.1",FALSE,FALSE,9,5,24,4,TRUE,TRUE,FALSE,TRUE,0,6
clifton,"Using !!some_method? is bad style, I understand using !!some_method but the ? should indicate a boolean return value.",FALSE,FALSE,18,5,25,5,TRUE,TRUE,TRUE,TRUE,0,6
clifton,"The second argument might be nitpicky (and I suppose just my opinion), but the first isn't.",FALSE,FALSE,16,5,26,6,TRUE,TRUE,FALSE,TRUE,0,6
fxn,"I understand that having something subtle to fix is annoying.",FALSE,TRUE,10,6,27,0,FALSE,TRUE,FALSE,TRUE,0,7
fxn,"You've gone over a major upgrade though, and again, the interface of the predicate has not changed at all anyway!",FALSE,TRUE,20,6,28,1,FALSE,FALSE,FALSE,TRUE,0,7
fxn,"You have to understand that ? in xhr? does indicate a boolean value. You believe it should be true or false (fixed-with font), but in Ruby any value is a boolean value because the language defines what is true and false.",FALSE,TRUE,41,6,29,2,FALSE,TRUE,TRUE,TRUE,0,7
fxn,"And that is the way one writes predicates in Ruby.",FALSE,TRUE,10,6,30,3,FALSE,TRUE,FALSE,TRUE,0,7
fxn,"Also operators rely on this language feature",FALSE,TRUE,7,6,31,4,FALSE,FALSE,FALSE,TRUE,0,7
fxn,"enters the loop because 1 && 2 && 3 evaluates to the true value 3, there's no requirement for && to return true or false (and it doesn't). Same for =~ which is what xhr? is based on today.",FALSE,TRUE,39,6,32,5,FALSE,TRUE,FALSE,TRUE,0,7
fxn,"That's the way Ruby works! These semantics about predicates are very common in programming languages indeed.",FALSE,TRUE,16,6,33,6,FALSE,TRUE,FALSE,TRUE,0,7
fxn,"OK the thread is clear I believe. I am convinced of the criteria to apply here and that the code had no business doing a double negation. So I am going to close the pull request and at the same time understand your opinion may be different.",FALSE,TRUE,47,6,34,7,FALSE,TRUE,FALSE,TRUE,0,7
masterkain,"Sorry but I concur with @clifton, request.xhr? should be casted to return true or false. my 2 cents.",FALSE,FALSE,18,7,36,1,FALSE,TRUE,TRUE,TRUE,0,8
fxn,"@masterkain predicates in Ruby are not required, nor expected, to return any particular value. Client code cannot depend on the value either, unless documented (like Integer#nonzero?). The code in that application was subtly using the returned value. That's broken, nobody is telling anything about the return value.",FALSE,TRUE,47,8,38,1,FALSE,TRUE,FALSE,TRUE,0,9
fxn,"The singletons true and false are there so that you can use them in predicates if nothing else makes sense.",FALSE,TRUE,20,8,39,2,FALSE,FALSE,FALSE,TRUE,0,9
fxn,"For example, you'd write",FALSE,TRUE,4,8,40,3,FALSE,FALSE,FALSE,TRUE,0,9
fxn,"you could also wirte",FALSE,TRUE,4,8,41,4,FALSE,FALSE,FALSE,TRUE,0,9
fxn,"but that's redundant and nobody requires/expects the predicate to be written that way.",FALSE,TRUE,13,8,42,5,FALSE,FALSE,FALSE,TRUE,0,9
masterkain,"@fxn whilst I agree with your point my thinking goes before the entire 'what should we return from a method with?'.",FALSE,TRUE,21,9,43,0,FALSE,TRUE,TRUE,TRUE,0,10
masterkain,"I mean, POLS (http://en.wikipedia.org/wiki/Principle_of_least_astonishment). We are talking about a Rails method that it's used for its true/false values and nothing else.",FALSE,TRUE,21,9,45,2,FALSE,TRUE,FALSE,TRUE,0,10
