% Generated by Discussion model rust.29703.txt
% File generated on 2017/08/09 19:32:27

@relation pr1502321547955

@attribute author String
@attribute textual String
@attribute isProjectMember {TRUE, FALSE}
@attribute isInvited {TRUE, FALSE}
@attribute numberOfWords numeric
@attribute commentsSoFar numeric
@attribute allUtterancesSoFar numeric
@attribute utterancesInCommentSoFar numeric
@attribute utteredByOriginalPoster {TRUE, FALSE}
@attribute hasCapitalizedWord {TRUE, FALSE}
@attribute containsShould {TRUE, FALSE}
@attribute hasDecisions {TRUE, FALSE}
@attribute howManyDecisions numeric
@attribute idComment numeric
@attribute idPara numeric

@data
GuillaumeGomez,"r? @alexcrichtoncc @Gankro",FALSE,FALSE,3,0,0,0,TRUE,FALSE,FALSE,TRUE,0,1,1
GuillaumeGomez,"This PR adds the possibility to switch style: generated doc link",FALSE,FALSE,11,0,1,1,TRUE,TRUE,FALSE,TRUE,0,1,2
GuillaumeGomez,"I generate a file to include new css files directly before compiling librustdoc. However, a few questions remain:",FALSE,FALSE,18,0,2,2,TRUE,TRUE,FALSE,TRUE,0,1,3
GuillaumeGomez,"Should I create a file which includes  basics  and only work on changes?",FALSE,FALSE,13,0,3,3,TRUE,TRUE,FALSE,TRUE,0,1,4
GuillaumeGomez,"Is my change on Makefile file correct?",FALSE,FALSE,7,0,4,4,TRUE,TRUE,FALSE,TRUE,0,1,5
GuillaumeGomez,"This is a first step before adding this change to rustbook as well.",FALSE,FALSE,13,0,5,5,TRUE,FALSE,FALSE,TRUE,0,1,6
Gankro,"The screenshot is busted for me, idk github seems to be puking serving the file (I once got a blurred copy of what looked like a nice dark theme, now I get a blank image).",FALSE,TRUE,35,1,6,0,FALSE,TRUE,FALSE,TRUE,0,2,1
Gankro,"Is there a motivation for this addition? It's kinda cool, but we shouldn't necessarily add stuff just because it's cool.",FALSE,TRUE,20,1,7,1,FALSE,TRUE,TRUE,TRUE,0,2,2
Gankro,"Edit: fixed.",FALSE,TRUE,2,1,8,2,FALSE,FALSE,FALSE,TRUE,0,2,3
GuillaumeGomez,"Because this white documentation is really annoying and killing my eyes. But I didn't want to impose my preferences so I added the possibility to switch between the two styles.@steveklabnik gave me his approval to do it so I did. :)",FALSE,FALSE,41,2,9,0,TRUE,TRUE,FALSE,TRUE,0,3,1
GuillaumeGomez,"PS: hum, weird... What happened to the screenshot ? :'(",FALSE,FALSE,10,2,10,1,TRUE,TRUE,FALSE,TRUE,0,3,2
alexcrichton,"I'm also a little wary on adding multiple styles to documentation, is this common of other documentation generators? Perhaps the generation step could have a style, but the rendered step?",FALSE,TRUE,30,3,12,1,FALSE,TRUE,FALSE,TRUE,0,4,1
GuillaumeGomez,"I find it better this way but I'm totally open to other proposition of course.",FALSE,FALSE,15,4,13,0,TRUE,TRUE,FALSE,TRUE,0,5,1
GuillaumeGomez,"I also updated the screenshot link. And improved the code a bit.",FALSE,FALSE,12,5,14,0,TRUE,TRUE,FALSE,TRUE,0,6,1
steveklabnik,"So, I really dislike dark themes, but it's a very, very common feature request, so I did mention to @GuillaumeGomez that they should try to work this up, to see what it's like.",FALSE,TRUE,33,6,15,0,FALSE,TRUE,TRUE,TRUE,0,7,1
steveklabnik,"Usually, what people ask for is  how do I get a dark style .",FALSE,TRUE,13,6,16,1,FALSE,TRUE,FALSE,TRUE,0,7,2
alexcrichton,"If we're just trying to solve the questions of how to get a different style at all, aren't that what browser extensions are for? This should largely just boil down to a different stylesheet in theory.",FALSE,TRUE,36,7,18,1,FALSE,TRUE,TRUE,TRUE,0,8,1
alexcrichton,"I'd feel a little better about this if any other documentation generators had this sort of option, but I think I'd still prefer to remain consistent among all our docs. cc @brson, you've had thoughts about this in the past as well.",FALSE,TRUE,42,7,19,2,FALSE,TRUE,FALSE,TRUE,0,8,2
GuillaumeGomez,"Asking user to do it themselves by adding browser extensions is a bit annoying. Why not providing it ourselves if we can ? It doesn't take that much after all. :-/",FALSE,TRUE,31,8,21,1,TRUE,TRUE,FALSE,TRUE,0,9,1
lwandrebeck,"Running Gnome 3 and apps in dark theme, I must admit being able to easily get doc in dark would save my eyes a bit �?@alexcrichton you do speak about browser extension, I’d need to check but I’m not that sure that Gnome Web (Epiphany) does support that. Thus, an in-doc dark (and others ?) theme would perfectly fit (at least my) some needs.",FALSE,FALSE,64,9,22,0,FALSE,TRUE,FALSE,TRUE,0,10,1
GuillaumeGomez,"I'd also like to precise that I want to implement it differently on rustbook : instead (or alongside, I really like the possibility to switch theme on the fly) of providing the possibility to switch the style while reading, I'd want to add the possibility to load a custom theme at book generation time.",FALSE,TRUE,54,10,24,1,TRUE,TRUE,FALSE,TRUE,0,11,1
GuillaumeGomez,"I hope it was clear enough...",FALSE,TRUE,6,10,25,2,TRUE,FALSE,FALSE,TRUE,0,11,2
nikomatsakis,"@alexcrichton I don't have a strong opinion here, but I think loading custom CSS is (imo) kind of a tall ask for ordinary humans.",FALSE,FALSE,24,11,27,1,FALSE,TRUE,FALSE,TRUE,0,12,1
alexcrichton,"I do kinda agree that saying  you should use a browser extension  is quite a bit to ask, but on the other hand it also seems just as rare to request not only a different style from rustdoc but supporting multiple styles?",FALSE,TRUE,42,12,29,1,FALSE,TRUE,TRUE,TRUE,0,13,1
GuillaumeGomez,"@alexcrichton: It's not rare for people to ask theme that fit them better, but it's rare that their request is granted, and that's a shame. I doesn't request much to do after all.",FALSE,TRUE,33,13,31,1,TRUE,TRUE,FALSE,TRUE,0,14,1
alexcrichton,"Unfortunately an addition like this ends up not being small when viewed over the vector of time. Although this is not much to add now, this may have consequences like:",FALSE,TRUE,30,14,33,1,FALSE,TRUE,FALSE,TRUE,0,15,1
alexcrichton,"This creates an inconsistent experience when browsing Rust documentation. If your preference is an alternate theme then you have to set that for every rustdoc instance you view. Not only that, but most Rust  properties  have the same style (e.g. the home page and the std api docs), and you won't be able to change the theme of all of them.",FALSE,TRUE,61,14,34,2,FALSE,TRUE,FALSE,TRUE,0,15,2
alexcrichton,"Bug reports will be filed and we'll have to start asking which style everyone's using. This is just an added layer of friction which isn't always necessary.",FALSE,TRUE,27,14,35,3,FALSE,TRUE,FALSE,TRUE,0,15,3
alexcrichton,"Bug reports will specifically be filed against one theme or another requiring us to either collect them or actively fix problems in both styles.",FALSE,TRUE,24,14,36,4,FALSE,FALSE,FALSE,TRUE,0,15,4
alexcrichton,"New features in rustdoc will have to be design for all styles, not just one. It's already basically a herculean task keeping rustdoc up to date, much less keeping the style itself up to date.",FALSE,TRUE,35,14,37,5,FALSE,TRUE,FALSE,TRUE,0,15,5
GuillaumeGomez,"I don't agree with you:",FALSE,TRUE,5,15,39,1,TRUE,TRUE,FALSE,TRUE,0,16,1
GuillaumeGomez,"It doesn't create an inconsistent experience but an alternative one. If it became the main theme, it'd be inconsistent but it's not the case.",FALSE,TRUE,24,15,40,2,TRUE,TRUE,FALSE,TRUE,0,16,2
GuillaumeGomez,"I don't see how style (where only colors in css changed) can have bugs. And if bugs there are, they're also in the main theme.",FALSE,TRUE,25,15,41,3,TRUE,TRUE,FALSE,TRUE,0,16,3
GuillaumeGomez,"Just like the previous point, if a bug is found on the dark theme, it certainly does exist for the main one.",FALSE,TRUE,22,15,42,4,TRUE,FALSE,FALSE,TRUE,0,16,4
GuillaumeGomez,"This is an issue I thought about. But here, we're talking about modifying css, and nothing more. You make a change on the main theme, you report it on the dark one and it won't take much more time (but it'll take time, yes). For this point, you can just ping me to make the change and I'll gladly do it if it allows users to have a dark theme.",FALSE,TRUE,70,15,43,5,TRUE,TRUE,FALSE,TRUE,0,16,5
vberger,"Among the possibilities to reduce the burden of maintaining such a split, as long as the only change is the colors, wouldn't it be a possibility to split the CSS file in two ?",FALSE,FALSE,34,16,45,1,FALSE,TRUE,FALSE,TRUE,0,17,1
vberger,"A file defining the structure of the page, and 2 small files for the colors (light.css / dark.css) ?",FALSE,FALSE,19,16,46,2,FALSE,FALSE,FALSE,TRUE,0,17,2
GuillaumeGomez,"@vberger: Your explanation is way better than what I said:",FALSE,TRUE,10,17,47,0,TRUE,TRUE,FALSE,TRUE,0,18,1
GuillaumeGomez,"Should I create a file which includes  basics  and only work on changes?",FALSE,TRUE,13,17,48,1,TRUE,TRUE,FALSE,TRUE,0,18,2
GuillaumeGomez,"Thanks for it. :)",FALSE,TRUE,4,17,49,2,TRUE,FALSE,FALSE,TRUE,0,18,3
wthrowe,"Target dependencies are evaluated at parse time, so this is going to cause generate_styles.py to be run every time make is invoked.  It should be moved to a recipe somewhere.",FALSE,FALSE,31,18,51,1,FALSE,TRUE,TRUE,TRUE,0,19,1
GuillaumeGomez,"I put it there in order to make it work. I couldn't figure out where was the right place but if you know it, please tell me the secret ! :)",FALSE,TRUE,31,19,52,0,TRUE,TRUE,FALSE,TRUE,0,20,1
wthrowe,"I believe $(S)src/librustdoc/html/styles.rs should have its own target, much like how llvmdeps.rs used to be handled.  The appropriate stamp file (stamp.rustdoc, I think) should depend on it.",FALSE,FALSE,28,20,54,1,FALSE,TRUE,TRUE,TRUE,0,21,1
wthrowe,"I'm not sure if generating the file in src is appropriate or if it should be somewhere in the target output directory.  If the latter it should probably look like the current llvmdeps.rs code.  If it does end up in src it should be presumably be added to .gitignore.",FALSE,FALSE,51,20,56,3,FALSE,TRUE,TRUE,TRUE,0,21,2
brson,"I'm definitely on board with being able to customize the generated style.",FALSE,TRUE,12,21,57,0,FALSE,TRUE,FALSE,TRUE,0,22,1
brson,"I too am a little wary of being able to switch styles at runtime. As someone who likes a nice dark background though, I also understand the appeal. (As an aside, I still really want the rustonomicon to be dark by default.) I always want to resist the urge to add more options to distract people with.",FALSE,TRUE,57,21,59,2,FALSE,TRUE,FALSE,TRUE,0,22,2
brson,"Does this patch do both and can it be split into two prs? Since adding the dark theme to the live docs is going to require a lot of consideration anyway, I think it's reasonable to split this up as possible.",FALSE,TRUE,41,21,60,3,FALSE,TRUE,FALSE,TRUE,0,22,3
GuillaumeGomez,"@brson: Like explained by @vberger, I'll create a common file with basics of rustdoc style and then just leave theme changes in both main.css and dark.css. So this PR will mainly add the possibility to switch theme. I'll provide a live rustdoc demo as soon as possible.",FALSE,TRUE,47,22,62,1,TRUE,TRUE,FALSE,TRUE,0,23,1
GuillaumeGomez,"Thanks for your support ! :)",FALSE,TRUE,6,22,63,2,TRUE,FALSE,FALSE,TRUE,0,23,2
GuillaumeGomez,"I splitted the css files and added styles.rs to gitignore file. I'll create the online rustdoc tomorrow.",FALSE,TRUE,17,23,64,0,TRUE,TRUE,FALSE,TRUE,0,24,1
GuillaumeGomez,"And here is the generated std doc.",FALSE,TRUE,7,24,65,0,TRUE,TRUE,FALSE,TRUE,0,25,1
GuillaumeGomez,"I also added local storage to keep the same style between pages.",FALSE,TRUE,12,25,67,1,TRUE,TRUE,FALSE,TRUE,0,26,1
mdinger,"To those who are opposed to a dark theme for maintainability or stylistic reasons, that isn't necessarily a good reason. Some people may prefer dark themes for stylistic reason but the more important subset may use them to avoid headaches and severe eyestrain. I would never print white text on black paper for reading but I avoid all rust documentation if possible when the background is white.",FALSE,FALSE,67,26,69,1,FALSE,TRUE,FALSE,TRUE,0,27,1
mdinger,"Let me rephrase, if all the main rust developers couldn't sleep at night and were getting headaches because bright monitors (maybe set to minimum brightness) and white pages made life more difficult, this would probably be a very high priority issue.",FALSE,FALSE,41,26,70,2,FALSE,FALSE,FALSE,TRUE,0,27,2
mdinger,"Likely most people aren't affected that severely but those who find them slightly uncomfortable may really really want such a feature.",FALSE,FALSE,21,26,71,3,FALSE,FALSE,FALSE,TRUE,0,27,3
mdinger,"You'll need to update the deprecated and unstable colors because they don't seem to quite work with the theme.",FALSE,FALSE,19,27,73,1,FALSE,TRUE,FALSE,TRUE,0,28,1
mdinger,"This is pretty pleasant compared to the default. The switcher is kinda weird but so what.",FALSE,FALSE,16,27,74,2,FALSE,TRUE,FALSE,TRUE,0,28,2
GuillaumeGomez,"@mdinger: Thanks for the feedback and your support ! I'll update it in the day.",FALSE,TRUE,15,28,75,0,TRUE,TRUE,FALSE,TRUE,0,29,1
pnkfelix,"more important subset may use them to avoid headaches and severe eyestrain",FALSE,FALSE,12,29,76,0,FALSE,FALSE,FALSE,TRUE,0,30,1
pnkfelix,"+1 to this.",FALSE,FALSE,3,29,77,1,FALSE,FALSE,FALSE,TRUE,0,30,2
pnkfelix,"We're not talking about having thirty different themes in the long run here, just the two (light vs dark), right?",FALSE,FALSE,20,29,79,3,FALSE,TRUE,FALSE,TRUE,0,30,3
pnkfelix,"and, BTW, since @brson said",FALSE,FALSE,5,29,80,4,FALSE,TRUE,FALSE,TRUE,0,30,4
pnkfelix,"I too am a little wary of being able to switch styles at runtime.",FALSE,FALSE,14,29,81,5,FALSE,FALSE,FALSE,TRUE,0,30,5
pnkfelix,"Seems to me that having the option to switch it at run-time (rather than doc-generation time) is crucial for serving the purpose of helping the audience be able to read the docs in comfort.",FALSE,FALSE,34,29,83,7,FALSE,TRUE,FALSE,TRUE,0,30,6
pnkfelix,"(Updated text above to try to make the targets of my responses clearer.)",FALSE,FALSE,13,29,84,8,FALSE,FALSE,FALSE,TRUE,0,30,7
pnkfelix,"(just to be clear: I would definitely want us to keep the light theme, at least as an option; I am someone who likes to print documents and put them on an e-ink screen, and in that context, dark-text on light-background tends to be the way to go...)",FALSE,FALSE,48,30,86,1,FALSE,TRUE,FALSE,TRUE,0,31,1
GuillaumeGomez,"@pnkfelix: The goal here isn't to get rid of the light theme but to give access to others alongside with the main one. Thanks for your comments !",FALSE,TRUE,28,31,88,1,TRUE,TRUE,FALSE,TRUE,0,32,1
pnkfelix,"The goal here isn't to get rid of the light theme",FALSE,TRUE,11,32,89,0,FALSE,TRUE,FALSE,TRUE,0,33,1
pnkfelix,"Right, I understand that; I was just anticipating someone saying  if the light theme is causing eye strain, why don't we just get rid of it and use only the dark theme , and so I wanted to include my (selfish) reason for wanting the light theme to persist.",FALSE,TRUE,48,32,90,1,FALSE,TRUE,FALSE,TRUE,0,33,2
GuillaumeGomez,"Well, no. Getting rid of the light theme is a bad idea from my point of view, no need for you to give your reasons (and they're not that selfish because even if I prefer dark theme, I use the light one to print ^^).",FALSE,TRUE,45,33,91,0,TRUE,TRUE,FALSE,TRUE,0,34,1
mdinger,"Not everyone gets eyestrain from computer screens. It's probably somewhat related to the specific computer screen and the individual but regardless, the same way some people strongly desire a dark theme, some strongly prefer a light theme. Those people probably don't get eyestrain enough to bother them.",FALSE,TRUE,47,34,92,0,FALSE,TRUE,FALSE,TRUE,0,35,1
mdinger,"That's probably why first questions like this are typical (you can almost read it like:  release: nice, nice, nice, nice, can we have a light theme ). So aside from each of our selfish reasons for our specific preference (and e-paper and printing), there are probably just as many others (if not more) with the complete opposite preference as we have so removing the choice wouldn't be great.",FALSE,TRUE,67,34,93,1,FALSE,TRUE,FALSE,TRUE,0,35,2
GuillaumeGomez,"@mdinger: I updated both items' style.",FALSE,TRUE,6,35,94,0,TRUE,TRUE,FALSE,TRUE,0,36,1
alexcrichton,"r? @brson",FALSE,TRUE,2,36,95,0,FALSE,FALSE,FALSE,TRUE,0,37,1
