@relation Final_Set

@attribute projName0 String
@attribute author0 String
@attribute authorNumPosts0 numeric
@attribute isProjectMember0 {TRUE, FALSE}
@attribute isInvited0 {TRUE, FALSE}
@attribute positionInPost0 numeric
@attribute positionInPR0 numeric
@attribute replayOriginalPost0 {TRUE, FALSE}
@attribute textual0 String
@attribute numberOfWords0 numeric
@attribute hasCapitalizedWord0  {TRUE, FALSE}
@attribute hasShould0  {TRUE, FALSE}
@attribute hasHow0  {TRUE, FALSE}
@attribute hasWhat0  {TRUE, FALSE}
@attribute hasWhy0  {TRUE, FALSE}
@attribute hasCan0  {TRUE, FALSE}
@attribute hasMay0 {TRUE, FALSE}
@attribute numberQuestionmark0 numeric
@attribute sentimentScore0 numeric
@attribute hasDecisions0 {TRUE, FALSE}
@attribute numDP0 numeric
@data

"node.1077.txt_output.arff","trevnorris",0,FALSE,FALSE,0,0,TRUE,"Now allow process.nextTick(callback[, ... vargs])",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,TRUE,0
"node.1077.txt_output.arff","cjihrig",0,FALSE,FALSE,0,1,FALSE,"Any chance of figuring this out before merging?",8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,TRUE,0
"node.1077.txt_output.arff","trevnorris",1,FALSE,FALSE,0,2,TRUE,"I will. Just don't have the brain cells at the moment to figure out why process.nextTick() returns undefined in the mentioned test.",22,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE,0
"node.1077.txt_output.arff","mscdex",0,FALSE,FALSE,0,3,FALSE,"I just tested this and all tests (including test-repl-timeout-throw) still pass after changing this additional instance of process.nextTick() to process.nextTick(afterWrite, stream, state, finished, cb);",24,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,TRUE,0
"node.1077.txt_output.arff","trevnorris",2,FALSE,FALSE,0,4,TRUE,"Thanks. I'll make the change to the PR.",8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,TRUE,0
"node.1077.txt_output.arff","rvagg",0,FALSE,FALSE,1,5,FALSE,"this is a tiny bit gross and a quite a leaky abstraction, I'm not really a fan of exposing ugly APIs just because it's the fastest way--fine if it's an internal API for the sake of cleaning up and speeding up (does it really do either of those?) but now we have to expose this to users.",57,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,TRUE,0
"node.1077.txt_output.arff","rvagg",1,FALSE,FALSE,3,5,FALSE,"process.nextTick(cb[, arg1[, arg2... ] ]) would be the obvious API choice because of the consistency and my vote would be that if we can't do that without taking a performance hit then we shouldn't do anything.",36,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,TRUE,0
"node.1077.txt_output.arff","trevnorris",3,FALSE,FALSE,1,6,TRUE,"@rvagg leaky? and it does both clean up and speed up (removing the need for additional function closures, flatten function declarations and no need to create an actual array). I played with the other API decision, but it causes far too many DEOPTs in nextTick() to be useful. And I disagree we shouldn't do anything. Internals are a CF of function declarations that prevent further optimizations.",66,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,TRUE,0
"node.1077.txt_output.arff","rvagg",1,FALSE,TRUE,1,7,FALSE,"leaky abstraction in the sense that your abstraction is saying too much about the implementation -- you're declaring to the world that you had to make compromises on your API to get other outcomes (performance), there has to be a tradeoff between pure perf and the best internal implementation and the API we expose to users and I'm here representing the API and this is that tradeoff discussion",68,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,TRUE,0
"node.1077.txt_output.arff","piscisaureus",0,FALSE,FALSE,1,8,FALSE,"I agree with @rvagg. This adds API that may seem nice and fast now but we have to support it forever. It would be more helpful if the setArgs api was strictly internal.",33,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,TRUE,0
